pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
55 Cnc f,55 Cnc,1,2,5,Radial Velocity,2007,Multiple Observatories,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,259.88,0.29,-0.29,0.0,0.7708,0.0043,-0.0044,0.0,,,,,,,,,,,,,,,,,47.8,2.4,-2.4,0.0,0.1503,0.0076,-0.0076,0.0,,,,,,,,,47.8,2.4,-2.4,0.0,0.1503,0.0076,-0.0076,0.0,Msini,,,,,0.08,0.05,-0.04,0.0,,,,,,,,,,,,,,,,,,0.0,5.14,0.26,-0.25,0.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,[Fe/H],,,,,4.43,0.02,-0.02,0.0,,,,,,,,,1.23,0.01,-0.01,1.0,38.8,0.05,-0.05,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11
BD+14 4559 b,BD+14 4559,1,1,1,Radial Velocity,2009,McDonald Observatory,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,268.94,0.99,-0.99,0.0,0.78,0.05,-0.05,0.0,,,,,,,,,,,,,,,,,330.5432,149.3801,-149.3801,0.0,1.04,0.47,-0.47,0.0,,,,,,,,,330.5432,149.3801,-149.3801,0.0,1.04,0.47,-0.47,0.0,Msini,,,,,0.29,0.03,-0.03,0.0,,,,,,,,,,,,,,,,,,0.0,55.2,2.3,-2.3,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4864.0,101.0,-101.0,0.0,0.86,0.04,-0.04,0.0,0.49,0.33,-0.33,0.0,0.17,,,0.0,[Fe/H],,,,,4.26,0.29,-0.29,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.352,0.0846,-0.0844,9.78,0.03,-0.03,7.336,0.023,-0.023,9.35108,0.000253,-0.000253,2018-09-04,2017-03,2018-09-06
BD+15 2940 b,BD+15 2940,1,1,1,Radial Velocity,2013,McDonald Observatory,Published Confirmed,0,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,137.48,0.34,-0.34,0.0,0.539,,,0.0,,,,,,,,,,,,,,,,,352.78,,,0.0,1.11,,,0.0,,,,,,,,,352.78,,,0.0,1.11,,,0.0,Msini,,,,,0.26,0.1,-0.1,0.0,,,,,,,,,,,,,,,,,,0.0,42.7,4.4,-4.4,0.0,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,K0,4796.0,117.0,-117.0,0.0,14.7,2.8,-2.8,0.0,1.1,0.2,-0.2,0.0,0.28,0.07,-0.07,0.0,[Fe/H],2.01,0.75,-0.75,0.0,2.8,0.45,-0.45,0.0,7.1,4.2,-4.2,0.0,,,,,2.3,0.8,-0.8,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h00m22.95s,240.09564,+15d32m48.30s,15.5467507,426.42,6.44,-6.44,9.01,0.03,-0.03,6.525,0.016,-0.016,8.7178,0.000291,-0.000291,2014-05-14,2013-06,2014-05-14
BD+45 564 b,BD+45 564,1,1,1,Radial Velocity,2021,Haute-Provence Observatory,Published Confirmed,0,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,307.88,1.47,-1.47,0.0,0.83,0.04,-0.04,0.0,,,,,,,,,,,,,,,,,432.24663,38.13941,-38.13941,0.0,1.36,0.12,-0.12,0.0,,,,,,,,,432.24663,38.13941,-38.13941,0.0,1.36,0.12,-0.12,0.0,Msini,,,,,0.12,0.06,-0.06,0.0,,,,,,,,,2.579,,,-1.0,,,,,,0.0,47.68,2.78,-2.78,0.0,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,K1,5004.0,50.0,-50.0,0.0,,,,,0.81,0.07,-0.07,0.0,-0.09,0.03,-0.03,0.0,[Fe/H],,,,,4.22,0.13,-0.13,0.0,,,,,,,,,2.0,1.0,-1.0,0.0,,,,,-6.82,0.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.622,0.1919,-0.1905,9.67,0.03,-0.03,7.557,0.024,-0.024,9.41266,0.000255,-0.000255,2021-05-28,2021-07,2021-05-28
BD+48 738 b,BD+48 738,1,1,1,Radial Velocity,2011,McDonald Observatory,Published Confirmed,0,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...28G/abstract target=ref> Gettel et al. 2012 </a>,392.6,5.5,-5.5,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,289.2253,,,0.0,0.91,,,0.0,,,,,,,,,289.2253,,,0.0,0.91,,,0.0,Msini,,,,,0.2,0.1,-0.1,0.0,,,,,,,,,,,,,,,,,,0.0,31.9,2.6,-2.6,0.0,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...28G/abstract target=ref> Gettel et al. 2012 </a>,K0 III,4414.0,15.0,-15.0,0.0,11.0,1.0,-1.0,0.0,0.74,0.39,-0.39,0.0,-0.2,0.07,-0.07,0.0,[Fe/H],1.69,0.33,-0.33,0.0,2.24,0.06,-0.06,0.0,,,,,,,,,1.0,,,1.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.493,43.849,-43.849,9.139,0.004,-0.004,5.904,0.018,-0.018,8.65569,0.000365,-0.000365,2015-08-12,2012-01,2015-08-13
BD+55 362 b,BD+55 362,1,1,1,Radial Velocity,2021,Haute-Provence Observatory,Published Confirmed,0,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,265.59,1.04,-1.04,0.0,0.78,0.05,-0.05,0.0,,,,,,,,,,,,,,,,,228.83645,25.42627,-25.42627,0.0,0.72,0.08,-0.08,0.0,,,,,,,,,228.83645,25.42627,-25.42627,0.0,0.72,0.08,-0.08,0.0,Msini,,,,,0.27,0.06,-0.06,0.0,,,,,,,,,0.601,,,-1.0,,,,,BJD,0.0,25.12,1.74,-1.74,0.0,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,K3,5012.0,78.0,-78.0,0.0,,,,,0.91,0.1,-0.1,0.0,0.18,0.05,-0.05,0.0,[Fe/H],,,,,4.09,0.16,-0.16,0.0,,,,,,,,,2.0,1.0,-1.0,0.0,,,,,-25.65,0.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697,0.0974,-0.0971,9.38,0.03,-0.03,7.331,0.021,-0.021,9.15305,0.000163,-0.000163,2021-05-28,2021-07,2021-05-28
BD-08 2823 c,BD-08 2823,1,1,2,Radial Velocity,2009,La Silla Observatory,Published Confirmed,0,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>,237.6,1.5,-1.5,0.0,0.68,0.02,-0.02,0.0,,,,,,,,,,,,,,,,,104.0,10.0,-10.0,0.0,0.33,0.03,-0.03,0.0,,,,,,,,,104.0,10.0,-10.0,0.0,0.33,0.03,-0.03,0.0,Msini,,,,,0.19,0.09,-0.09,0.0,,,,,,,,,,,,,,,,,,0.0,13.4,1.0,-1.0,0.0,<a refstr=HEBRARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..46H/abstract target=ref> H&eacute;brard et al. 2010 </a>,K3 V,4746.0,63.0,-63.0,0.0,,,,,0.74,0.07,-0.07,0.0,-0.07,0.03,-0.03,0.0,[Fe/H],,,,,4.13,0.26,-0.26,0.0,4.5,4.0,-4.0,0.0,,,,,1.4,,,0.0,,,,,53.34,0.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342,0.0685,-0.0682,9.86,0.03,-0.03,7.323,0.021,-0.021,9.50331,0.000418,-0.000418,2014-05-14,2010-03,2014-05-14
GJ 1148 c,GJ 1148,1,1,2,Radial Velocity,2017,Calar Alto Observatory,Published Confirmed,0,<a refstr=TRIFONOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...609A.117T/abstract target=ref>Trifonov et al. 2018</a>,532.58,4.14,-2.52,0.0,0.912,0.005,-0.002,0.0,,,,,,,,,,,,,,,,,68.06,4.91,-2.19,0.0,0.21414,0.01545,-0.00689,0.0,,,,,,,,,68.06,4.91,-2.19,0.0,0.21414,0.01545,-0.00689,0.0,Msini,,,,,0.342,0.05,-0.062,0.0,,,,,,,,,,,,,,,,,,0.0,11.34,0.79,-0.36,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3287.0,157.0,-157.0,0.0,0.36,0.01,-0.01,0.0,0.34,0.02,-0.02,0.0,,,,,,-1.869,0.097,-0.126,0.0,4.87,0.0,0.0,0.0,,,,,10.5255,0.314,-0.314,0.0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h41m43.83s,175.4326081,+42d45m05.71s,42.7515862,11.0143,0.0064,-0.0065,11.939,0.048,-0.048,6.822,0.016,-0.016,10.5769,0.000593,-0.000593,2017-10-16,2018-02,2017-10-19
GJ 1151 c,GJ 1151,1,1,1,Radial Velocity,2023,Multiple Facilities,Published Confirmed,0,<a refstr=BLANCO_POZO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230104442B/abstract target=ref>Blanco-Pozo et al. 2023</a>,389.7,5.4,-6.5,0.0,0.5714,0.0053,-0.0064,0.0,,,,,,,,,,,,,,,,,10.62,1.31,-1.47,0.0,0.03341,0.00412,-0.00463,0.0,,,,,,,,,10.62,1.31,-1.47,0.0,0.03341,0.00412,-0.00463,0.0,Msini,,,,,,,,,,,,,,,,,,,,,2457798.67,22.0,-20.0,0.0,BJD,0.0,3.1,0.38,-0.43,0.0,<a refstr=BLANCO_POZO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230104442B/abstract target=ref>Blanco-Pozo et al. 2023</a>,M 4.5V,3280.0,40.0,-40.0,0.0,0.18,0.0,0.0,0.0,0.16,0.01,-0.01,0.0,-0.12,0.1,-0.1,0.0,[Fe/H],-2.48,0.002,-0.002,0.0,5.09,0.09,-0.09,0.0,,,,,,,,,2.0,,,1.0,140.0,10.0,-10.0,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h50m55.32s,177.7304866,+48d22m23.64s,48.3732334,8.03625,0.00772,-0.00771,13.76,0.2,-0.2,7.637,0.017,-0.017,11.6938,0.000459,-0.000459,2023-01-23,2023-01,2023-01-23
GJ 3138 d,GJ 3138,1,1,3,Radial Velocity,2017,La Silla Observatory,Published Confirmed,0,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>,257.8,3.6,-3.5,0.0,0.698,0.018,-0.019,0.0,,,,,,,,,,,,,,,,,10.5,2.3,-2.1,0.0,0.03304,0.00724,-0.00661,0.0,,,,,,,,,10.5,2.3,-2.1,0.0,0.03304,0.00724,-0.00661,0.0,Msini,,,,,0.32,0.2,-0.21,0.0,0.1,,,0.0,,,,,,,,,,,,,,0.0,1.47,0.35,-0.3,0.0,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>,M0,3717.0,49.0,-49.0,0.0,0.5,0.03,-0.03,0.0,0.68,,,0.0,-0.3,0.12,-0.12,0.0,[Fe/H],-1.347,0.063,-0.073,0.0,,,,,,,,,,,,,,,,,42.5,,,0.0,13.6,0.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h09m11.46s,32.2977385,-16d20m21.30s,-16.3392495,28.4712,0.03505,-0.03505,10.8275,0.0459,-0.0459,,,,10.1924,0.000629,-0.000629,2017-03-29,2017-06,2017-03-30
GJ 317 b,GJ 317,1,1,2,Radial Velocity,2007,W. M. Keck Observatory,Published Confirmed,0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,695.66,0.355,-0.355,0.0,1.151,0.018,-0.018,0.0,,,,,,,,,,,,,,,,,557.1,18.3,-18.3,0.0,1.75282,0.05758,-0.05758,0.0,,,,,,,,,557.1,18.3,-18.3,0.0,1.75282,0.05758,-0.05758,0.0,Msini,,,,,0.07,0.01,-0.01,0.0,,,,,,,,,,,,,,,,,JD,0.0,71.81,0.58,-0.58,0.0,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200807998F/abstract target=ref>Feng et al. 2020</a>,,,,,,,,,,0.42,0.02,-0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m58.69s,130.2445254,-23d27m10.11s,-23.452809,15.1968,0.013,-0.0129,12.4,0.2,-0.2,7.028,0.02,-0.02,10.7539,0.000818,-0.000818,2020-09-08,2020-08,2020-09-03
GJ 328 c,GJ 328,1,1,2,Radial Velocity,2023,Roque de los Muchachos Observatory,Published Confirmed,0,<a refstr=PINAMONTI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230604419P/abstract target=ref>Pinamonti et al. 2023</a>,241.8,1.3,-1.7,0.0,0.657,0.026,-0.028,0.0,,,,,,,,,,,,,,,,,21.4,3.4,-3.2,0.0,0.06733,0.0107,-0.01007,0.0,,,,,,,,,21.4,3.4,-3.2,0.0,0.06733,0.0107,-0.01007,0.0,Msini,,,,,,,,,,,,,,,,,,,,,2458478.8,5.4,-5.3,0.0,BJD,0.0,2.95,0.39,-0.38,0.0,<a refstr=PINAMONTI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230604419P/abstract target=ref>Pinamonti et al. 2023</a>,M0.0,3897.0,71.0,-71.0,0.0,0.63,0.07,-0.07,0.0,0.65,0.08,-0.08,0.0,-0.06,0.09,-0.09,0.0,[Fe/H],-1.08,0.1,-0.1,0.0,4.64,0.07,-0.07,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h55m07.67s,133.7819507,+01d32m31.20s,1.5420011,20.5266,0.01685,-0.01685,9.99,0.1,-0.1,6.352,0.026,-0.026,9.2861,0.000382,-0.000382,2023-07-10,2023-06,2023-07-10
GJ 649 b,GJ 649,1,1,1,Radial Velocity,2009,W. M. Keck Observatory,Published Confirmed,0,<a refstr=PINAMONTI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230604419P/abstract target=ref>Pinamonti et al. 2023</a>,600.1,1.7,-1.7,0.0,1.112,0.035,-0.037,0.0,,,,,,,,,,,,,,,,,81.99973,7.31005,-6.99222,0.0,0.258,0.023,-0.022,0.0,,,,,,,,,81.99973,7.31005,-6.99222,0.0,0.258,0.023,-0.022,0.0,Msini,,,,,0.083,0.068,-0.055,0.0,,,,,,,,,,,,,2459045.4,10.8,-11.7,0.0,BJD,0.0,9.71,0.55,-0.53,0.0,<a refstr=PINAMONTI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230604419P/abstract target=ref>Pinamonti et al. 2023</a>,M1.0,3734.0,68.0,-68.0,0.0,0.5,0.05,-0.05,0.0,0.51,0.05,-0.05,0.0,-0.15,0.09,-0.09,0.0,[Fe/H],-1.361,0.087,-0.087,0.0,4.76,0.04,-0.04,0.0,,,,,,,,,,,,,24.89,0.34,-0.35,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h58m08.72s,254.5363221,+25d44m31.10s,25.7419719,10.3796,0.00335,-0.00335,9.7,0.1,-0.1,5.624,0.016,-0.016,8.81875,0.000404,-0.000404,2023-07-10,2023-06,2023-07-10
